,comments
131,"Chris Sayers, if he can at all prove any of this and it&#39;s not just hearsay, has a fairly easy UCL Claim for a lawsuit against Blizzard under the idea that this was an &quot;unfair&quot; business practice. Depriving him of the potential for monetary gain for a quarter of a year, is within their right with the Non-Compete Claus of their contract, but only in the situation that he was treated fairly. They, in writing, said he wasn&#39;t promoted. This directly is conflicting with the idea that he had to sign a new contract to obtain the new position. Even if the contract directly stated no increase of pay or benefits would be provided, using that contract to leverage a Claus within it could easily be seen in a courtroom as an unjust and unfair abuse and he could be entitled to compensation.<br><br>&quot;Unfair&quot; in this type of legal claim is defined clearly as: “offends established public policy, that is immoral, unethical, oppressive, unscrupulous, or substantially injurious to consumers, or that has an impact on the victim that outweighs defendant’s reasons, justifications, and motives for the practice.”<br>Essentially, Blizzard lawyers would have to prove to the courtroom that they denied him livelihood for a justifiable reason, and Sayer&#39;s legal would have to prove the opposite is true.<br><br>First though, he&#39;s gotta have real evidence of the contract he signed, and of the misconduct of the company. A Twitlonger quite literally will do nothing but garner public attention."
132,&quot;Line Manager&quot; is a general term across a lot of industries meant to mean first line supervisor/manager. It&#39;s the lowest level of functional management within the business.
133,"Getting rid of night shift isn&#39;t wrong. They made a business decision to move everyone to 1st and since you aren&#39;t on the non-preferred shift which gets a pay differential, you weren&#39;t slighted. Nothing about the first story was wrong or unethical. I don&#39;t see how hesaw it that way."
134,"looks like the Devs are just like the blizzard gamers, delusional Stockholm syndrome victims."
135,wave from the unionized in the EU
136,"For the RTO for medical accommodation, had an employee out on telework exception so he could care for his parents for a year.  After the year was up, he did not return to work stating that he did not make enough money at the position and needs to seek employment else ware.  Clearly he knew that while he was caring for his parents, used the job, did the bare minimum, less at times, collected a paycheck, left when no longer convenient.  So this really goes both ways"
137,"Dude! I&#39;ve had a few companies attempt to &quot;promote&quot; me with more work and less pay, and I&#39;ve literally vomited from the revelation.  Get shit on paper. I&#39;ve held crumbling businesses together until the weight was too much, but their mentality was still that I was replaceable... and then they fold.  Others Iv&#39;e work at won&#39;t fold  soon, but if I am replaceable, so are they.  Stick to your guns fam.  You&#39;re a hero"
138,"&quot;at that point I&#39;d hire a lawyer&quot;<br>Oh yeah, I&#39;ve been underpaid my entire career, just making ends meet and now I&#39;m out of a job. Let me just take my tens of thousands of dollars I have saved away and HIRE A LAWYER.<br><br>Come on Thor..."
139,I didn&#39;t know Howard Stern worked at Blizzard
140,"The difference between the job and the work really resonates, thanks for pointing that out."
141,"@PirateSoftware, QA was treated like trash at at Zenimax online, evenmore so for the &quot;Year Contract&quot; workers. We had the same speech of how we are all replaceable by a higher up from Bethesda when the game wasn&#39;t doing well. They never wanted to pay people so they would hire people for a year, let the contract run out. wait 6 months and try to hire them again to get out of paying healthcare and fair wages. Since then moved to Database work, way better."
